Source,Target,Weight
1821,211,3
1593,219,1
220,1117,1
1933,1929,1
206,1810,1
1728,1962,3
1616,1741,1
1736,1737,1
1588,1845,1
121,93,2
1553,1923,1
1587,1589,4
209,1983,4
204,1590,8
1771,93,1
96,1732,1
1614,124,4
1012,1600,2
1934,124,2
208,1758,5
209,689,2
1741,1113,2
1010,1909,3
1728,1908,1
206,210,8
1010,2044,1
1760,206,5
1015,1772,3
213,90,1
354,1983,1
353,1750,1
1770,1841,1
1618,1117,1
2044,1845,1
1536,1012,6
1013,121,1
1762,1731,1
1113,1816,2
1117,1729,3
1619,1012,1
1754,694,1
204,208,1
1738,211,1
1010,209,3
1587,1769,2
1771,208,1
1821,2014,32
1685,1604,2
1113,210,3
1010,1534,1
1728,1750,2
1015,430,1
1012,1614,3
90,213,1
211,1962,1
1012,1113,3
1737,1758,1
1010,1580,1
1729,1983,1
1015,2021,1
1108,1767,1
210,1729,1
1590,210,2
2035,122,1
1816,1736,1
1983,1820,1
1728,1813,4
1741,1010,8
1933,1771,1
1588,90,1
1736,1980,1
2014,1737,1
210,1589,11
1923,1728,1
1012,1010,102
1590,1982,3
426,1589,1
1979,1117,1
1012,1912,1
1908,1979,1
1015,1841,1
2024,1844,1
1738,1974,1
1012,1983,3
90,1012,1
302,2043,1
1771,1934,4
124,1840,1
1770,1011,5
1010,1729,2
1750,1754,1
1015,1755,2
215,1944,2
1823,1012,6
1980,1012,1
1113,1982,1
689,211,2
1731,354,31
1982,1587,1
1821,1974,1
1954,2014,5
1117,215,1
1770,1950,33
1922,1108,1
211,1587,40
93,1734,1
211,90,1
1587,1729,1
96,767,1
1010,1769,8
1685,1607,1
1935,1771,1
1587,209,3
1844,353,1
1755,890,2
1912,1013,1
1557,124,1
1741,1614,2
213,1730,12
209,208,1
1010,2015,1
1821,1015,4
1944,213,1
1934,1108,1
694,206,2
1728,1810,4
1750,1983,1
211,1756,10
206,353,54
890,1619,2
208,1595,1
1012,1674,1
1015,1844,1
1536,1728,2
1592,1589,1
2014,1823,3
1011,1012,7
1730,1953,1
1736,1010,2
1012,1774,1
1921,1728,1
1976,1010,1
1545,124,1
121,1015,1
1010,1108,3
1015,1950,1
1728,207,1
1728,90,1
124,1823,1
1015,1758,4
1544,1749,1
1740,1756,1
1935,1012,5
1587,1592,2
90,1587,1
1616,124,4
1773,124,1
1015,1921,3
